1001,Rahul Sharma,Finance,65000
1002,Priya Verma,HR,55000
1003,Amit Kumar,IT,72000
1004,Neha Gupta,Marketing,58000
1005,Rohit Mehta,Finance,68000
1006,Anjali Singh,HR,60000
1007,Vikas Arora,IT,85000
1008,Pooja Malhotra,Sales,52000
1009,Karan Khanna,Operations,62000
1010,Simran Kaur,Finance,70000
1011,Arjun Kapoor,IT,91000
1012,Deepika Jain,HR,57000
1013,Manish Agarwal,Marketing,63000
1014,Ritika Sharma,Sales,54000
1015,Sachin Bansal,Operations,67000
1016,Nitin Verma,Finance,76000
1017,Sonia Arora,IT,89000
1018,Varun Gupta,Sales,56000
1019,Megha Kapoor,HR,61000
1020,Abhishek Singh,Marketing,65000
1021,Kunal Mehra,Finance,71000
1022,Shreya Nanda,IT,94000
1023,Tarun Sethi,Operations,69000
1024,Isha Bhatia,HR,59000
1025,Rajat Malhotra,Sales,61000
1026,Aman Khurana,Finance,78000
1027,Divya Chawla,Marketing,64000
1028,Gaurav Saini,IT,88000
1029,Nidhi Saxena,HR,62000
1030,Harsh Vardhan,Operations,70000
1031,Yash Sharma,Finance,81000
1032,Komal Arora,Sales,57000
1033,Mohit Jain,Marketing,66000
1034,Sneha Kapoor,IT,97000
1035,Rakesh Yadav,Operations,72000
1036,Pallavi Sharma,HR,63000
1037,Ankit Gupta,Finance,79000
1038,Rhea Mehta,Sales,59000
1039,Sumit Verma,IT,93000
1040,Kriti Bansal,Marketing,68000
1041,Ayush Goel,Operations,71000
1042,Sakshi Gupta,Finance,82000
1043,Hemant Sharma,IT,96000
1044,Muskan Arora,HR,65000
1045,Aditya Malhotra,Sales,62000
1046,Bhavna Sethi,Marketing,69000
1047,Naveen Khanna,Finance,84000
1048,Tanya Kapoor,IT,99000
1049,Prashant Singh,Operations,73000
1050,Ruchi Jain,HR,67000
